"SampleName","smokingscore_EM","smokingscore_ZM","logCoeff_CS","logCoeff_FS","logCoeff_NS","PredictedSmokingStatus","probs_CS","probs_FS","probs_NS","PredictedSmokingStatus2"
"GSM1051689_7800246071_R03C01","0.99","-7.75","-0.73","0.47","0.26","Former Smoker","0.14","0.47","0.39","Former Smoker"
"GSM1051690_7800246071_R04C01","10.43","-4.84","1.48","-0.18","-1.30","Current Smoker","0.80","0.15","0.05","Current Smoker"
"GSM1051691_7800246071_R05C01","-2.18","-9.07","-1.06","0.19","0.87","Never Smoker","0.09","0.31","0.61","Never Smoker"
"GSM1051692_7800246071_R06C01","-0.09","-7.97","-0.99","-0.17","1.16","Never Smoker","0.08","0.19","0.72","Never Smoker"
"GSM1051693_7800246071_R01C02","-0.21","-5.51","-0.02","-0.14","0.16","Never Smoker","0.32","0.29","0.39","Never Smoker"
"GSM1051694_7800246071_R03C02","0.44","-8.54","-0.98","-0.01","0.99","Never Smoker","0.09","0.24","0.66","Never Smoker"
"GSM1051695_7800246071_R04C02","5.76","-4.96","1.03","-1.37","0.34","Current Smoker","0.63","0.06","0.32","Current Smoker"
"GSM1051696_7800246071_R05C02","-1.29","-9.24","-1.25","0.23","1.03","Never Smoker","0.07","0.29","0.64","Never Smoker"
"GSM1051697_7800246071_R06C02","5.47","-4.22","0.80","0.07","-0.87","Current Smoker","0.60","0.29","0.11","Current Smoker"
"GSM1051698_7800246072_R01C01","-3.73","-9.48","-0.90","-0.25","1.15","Never Smoker","0.09","0.18","0.73","Never Smoker"
"GSM1051699_7800246072_R02C01","-2.80","-7.68","-0.58","-0.26","0.84","Never Smoker","0.15","0.21","0.64","Never Smoker"
"GSM1051700_7800246072_R03C01","3.67","-6.13","0.21","0.23","-0.44","Former Smoker","0.39","0.40","0.21","Former Smoker"
"GSM1051701_7800246072_R04C01","-4.06","-10.02","-1.38","0.13","1.25","Never Smoker","0.05","0.23","0.72","Never Smoker"
"GSM1051702_7800246072_R05C01","-4.25","-8.16","-1.01","-0.16","1.16","Never Smoker","0.08","0.19","0.72","Never Smoker"
"GSM1051703_7800246072_R06C01","-1.64","-7.86","-1.36","0.17","1.19","Never Smoker","0.05","0.25","0.69","Never Smoker"
"GSM1051704_7800246072_R01C02","1.53","-5.85","0.64","-0.44","-0.20","Current Smoker","0.57","0.19","0.24","Current Smoker"
"GSM1051705_7800246072_R02C02","-0.45","-7.67","-1.00","-0.03","1.02","Never Smoker","0.09","0.24","0.67","Never Smoker"
"GSM1051706_7800246072_R03C02","8.46","-3.85","1.40","-0.01","-1.39","Current Smoker","0.77","0.19","0.05","Current Smoker"
"GSM1051707_7800246072_R04C02","1.08","-5.58","0.15","0.17","-0.32","Former Smoker","0.38","0.38","0.24","Former Smoker"
"GSM1051708_7800246072_R05C02","2.81","-4.97","-0.09","0.44","-0.36","Former Smoker","0.29","0.49","0.22","Former Smoker"
"GSM1051709_7800246072_R06C02","-0.84","-8.32","-1.13","0.66","0.47","Former Smoker","0.08","0.50","0.42","Former Smoker"
"GSM1051710_7800246034_R01C01","-1.51","-8.17","-1.12","0.03","1.09","Never Smoker","0.08","0.24","0.69","Never Smoker"
"GSM1051711_7800246034_R02C01","11.10","-3.16","1.48","0.05","-1.53","Current Smoker","0.77","0.19","0.04","Current Smoker"
"GSM1051712_7800246034_R03C01","4.28","-7.27","-1.25","0.38","0.87","Never Smoker","0.07","0.35","0.58","Never Smoker"
